procedimento,2020,total,municipio_ibge,competencia,2022,2021
0412050170 TORACOCENTESE/DRENAGEM DE PLEURA,,8,130260,2022-06,8.0,
0414010361 EXERESE DE CISTO ODONTOGENICO E NAO-ODONTOGENICO,,1,130260,2022-06,1.0,
0414020049 CORRECAO DE BRIDAS MUSCULARES,,3,130260,2022-06,3.0,
0414020057 CORRECAO DE IRREGULARIDADES DE REBORDO ALVEOLAR,,26,130260,2022-06,26.0,
0414020073 CURETAGEM PERIAPICAL,,74,130260,2022-06,74.0,
0414020120 EXODONTIA DE DENTE DECIDUO,,18,130260,2022-06,18.0,
0414020138 EXODONTIA DE DENTE PERMANENTE,,18,130260,2022-06,18.0,
0414020146 EXODONTIA MULTIPLA COM ALVEOLOPLASTIA POR SEXTANTE,,25,130260,2022-06,25.0,
0414020162 GENGIVOPLASTIA (POR SEXTANTE),,6,130260,2022-06,6.0,
0414020219 ODONTOSECCAO / RADILECTOMIA / TUNELIZACAO,,54,130260,2022-06,54.0,
0414020278 REMOCAO DE DENTE RETIDO (INCLUSO / IMPACTADO),,181,130260,2022-06,181.0,
0414020294 REMOCAO DE TORUS E EXOSTOSES,,1,130260,2022-06,1.0,
0414020375 TRATAMENTO CIRURGICO PERIODONTAL (POR SEXTANTE),,7,130260,2022-06,7.0,
0414020405 ULOTOMIA/ULECTOMIA,,1,130260,2022-06,1.0,
0415040035 DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,,5,130260,2022-06,5.0,
0415040043 DEBRIDAMENTO DE ULCERA / NECROSE,,1123,130260,2022-06,1123.0,
0417010052 ANESTESIA REGIONAL,,1589,130260,2022-06,1589.0,
0417010060 SEDACAO,,805,130260,2022-06,805.0,
0418010021 CONFECCAO DE FISTULA ARTERIO-VENOSA C/ ENXERTO AUTOLOGO,,5,130260,2022-06,5.0,
0418010030 CONFECCAO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE,,41,130260,2022-06,41.0,
0418010048 IMPLANTE DE CATETER DE LONGA PERMANENCIA P/ HEMODIALISE,,45,130260,2022-06,45.0,
0418010064 IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE,,213,130260,2022-06,213.0,
0418010080 IMPLANTE DE CATETER TIPO TENCKHOFF OU SIMILAR P/ DPA/DPAC,,1,130260,2022-06,1.0,
0418020019 INTERVENCAO EM FISTULA ARTERIO-VENOSA,,3,130260,2022-06,3.0,
0418020035 RETIRADA DE CATETER TIPO TENCKHOFF / SIMILAR DE LONGA PERMANENCIA,,13,130260,2022-06,13.0,
0501010025 IDENTIFICACAO DE DOADOR APARENTADO DE CELULAS-TRONCO HEMATOPOETICAS 1A FASE (POR DOADOR TIPADO),,41,130260,2022-06,41.0,
0501010092 CONFIRMACAO DE TIPIFICACAO DE DOADOR NAO APARENTADO DE CELULAS TRONCO HEMATOPOETICAS (POR DOADOR T,,3,130260,2022-06,3.0,
0501010106 IDENTIFICACAO DE DOADOR APARENTADO DE CELULAS TRONCO HEMATOPOETICAS 2¶¦ FASE (POR DOADOR TIPADO),,5,130260,2022-06,5.0,
0501020039 CONFIRMACAO DE IDENTIFICACAO DE RECEPTOR DE CELULAS TRONCO HEMATOPOETICAS,,7,130260,2022-06,7.0,
0501020047 IDENTIFICACAO/CONFIRMACAO DE RECEPTOR DE CELULAS TRONCO HEMATOPOETICAS,,8,130260,2022-06,8.0,
"0501030077 MOBILIZACAO, COLETA E ACONDICIONAMENTO DE CELULAS TRONCO HEMATOPOETICAS DE SANGUE PERIFERICO NO BRA",,1,130260,2022-06,1.0,
0501040013 AUTO-PROVA CRUZADA EM RECEPTOR DE RIM (AUTO CROSS-MATCH),,1,130260,2022-06,1.0,
0501040064 PROVAS CRUZADAS EM RECEPTORES DE DOADORES FALECIDOS (CROSS MATCH),,24,130260,2022-06,24.0,
0501040080 IDENTIFICACAO DE DOADOR FALECIDO DE ORGAOS,,5,130260,2022-06,5.0,
0501040099 IDENTIFICACAO DE DOADOR VIVO DE RIM- (POR DOADOR TIPADO),,2,130260,2022-06,2.0,
0501040102 PROVAS CRUZADAS EM DOADORES DE ORGAOS E DE MEDULA OSSEA (APARENTADO NAO IDENTICO),,2,130260,2022-06,2.0,
0501050019 AVALIACAO DE REATIVIDADE DO RECEPTOR CONTRA PAINEL EM RECEPTORES HIPERSENSIBILIZADOS DE ORGAOS,,41,130260,2022-06,41.0,
0501050035 AVALIACAO DE REATIVIDADE EM RECEPTORES NAO SENSIBILIZADOS,,28,130260,2022-06,28.0,
0501050043 EXAMES DE PACIENTES EM LISTA DE ESPERA PARA TRANSPLANTES,,7,130260,2022-06,7.0,
0501050051 IDENTIFICACAO DE RECEPTOR DE ORGAOS,,6,130260,2022-06,6.0,
0501070028 SOROLOGIA DE POSSIVEL DOADOR DE ORGAO OU TECIDO EXCETO CORNEA,,7,130260,2022-06,7.0,
0501070052 EXAMES PARA INCLUSAO EM LISTA DE CANDIDATOS A TRANSPLANTE DE FIGADO,,3,130260,2022-06,3.0,
"0501070060 EXAMES PARA INCLUSAO EM LISTA DE CANDIDATOS A TRANSPLANTE DE PANCREAS, PULMAO OU RIM",,2,130260,2022-06,2.0,
0501080040 DOSAGEM DE SIROLIMO (EM PACIENTE TRANSPLANTADO),,1,130260,2022-06,1.0,
0501080058 DOSAGEM DE TACROLIMO (EM PACIENTE TRANSPLANTADO),,84,130260,2022-06,84.0,
0501080066 EXAMES DE RADIOLOGIA EM PACIENTE TRANSPLANTADO,,1,130260,2022-06,1.0,
0501080074 EXAMES MICROBIOLOGICOS EM PACIENTE TRANSPLANTADO,,3,130260,2022-06,3.0,
0501080090 ULTRASSONOGRAFIA DE ORGAO TRANSPLANTADO,,3,130260,2022-06,3.0,
0503010022 ACOES RELACIONADAS A DOACAO DE ORGAOS E TECIDOS REALIZADAS POR EQUIPE DE OUTRO ESTABELECIMENTO,,16,130260,2022-06,16.0,
0503030058 RETIRADA DE GLOBO OCULAR UNI / BILATERAL (P/ TRANSPLANTE),,14,130260,2022-06,14.0,
0503040061 ENTREVISTA FAMILIAR PARA DOACAO DE TECIDOS DE DOADORES COM CORACAO PARADO,,14,130260,2022-06,14.0,
0504010026 PROCESSAMENTO DE CORNEA / ESCLERA,,14,130260,2022-06,14.0,
0504010034 SEPARACAO E AVALIACAO BIOMICROSCOPICA DA CORNEA,,26,130260,2022-06,26.0,
0505010097 TRANSPLANTE DE CORNEA,,5,130260,2022-06,5.0,
0506010015 ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE CORNEA,,5,130260,2022-06,5.0,
0506010023 ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE RIM FIGADO CORACAO PULMAO CELULAS-TRONCO HEMATOPOETICA,,210,130260,2022-06,210.0,
"0506010031 ACOMPANHAMENTO DE DOADOR VIVO POS-DOACAO DE FIGADO, PULMAO OU RIM",,2,130260,2022-06,2.0,
0506010040 ACOMPANHAMENTO DE PACIENTES NO PRE TRANSPLANTE DE ORGAOS,,52,130260,2022-06,52.0,
0604010010 MESALAZINA 400 MG (POR COMPRIMIDO),,8460,130260,2022-06,8460.0,
0604010036 MESALAZINA 800 MG - POR COMPRIMIDO¶ÿ,,9619,130260,2022-06,9619.0,
0604010095 SULFASSALAZINA 500 MG (POR COMPRIMIDO),,2790,130260,2022-06,2790.0,
0604020023 DEFERASIROX 250 MG (POR COMPRIMIDO)¶ÿ,,390,130260,2022-06,390.0,
0604020031 DEFERASIROX 500 MG (POR COMPRIMIDO)¶ÿ,,630,130260,2022-06,630.0,
"0604030037 CABERGOLINA 0,5 MG (POR COMPRIMIDO)",,732,130260,2022-06,732.0,
"0604030045 PRAMIPEXOL 0,125 MG (POR COMPRIMIDO)",,270,130260,2022-06,270.0,
"0604030053 PRAMIPEXOL 0,25 MG (POR COMPRIMIDO)",,10560,130260,2022-06,10560.0,
0604030061 PRAMIPEXOL 1 MG (POR COMPRIMIDO),,6368,130260,2022-06,6368.0,
0604040040 FORMOTEROL 12 MCG + BUDESONIDA 400 MCG ¶ÿ(POR CAPSULA INALANTE),,60,130260,2022-06,60.0,
0604040059 FORMOTEROL 12 MCG + BUDESONIDA 400 MCG PO INALANTE (POR FRASCO DE 60 DOSES),,905,130260,2022-06,905.0,
0604040067 FORMOTEROL 6 MCG + BUDESONIDA 200 MCG PO INALANTE (POR FRASCO DE 60 DOSES),,658,130260,2022-06,658.0,
0604050038 CODEINA 30 MG (POR COMPRIMIDO),,270,130260,2022-06,270.0,
0604050089 MORFINA 30 MG (POR COMPRIMIDO),,90,130260,2022-06,90.0,
0604060025 COMPLEMENTO ALIMENTAR P/ PACIENTE FENILCETONURICO MAIOR DE 1 ANO - FORMULA DE AMINOACIDOS ISENTA DE,,48,130260,2022-06,48.0,
0604080026 HIDROXICLOROQUINA 400 MG (POR COMPRIMIDO),,7111,130260,2022-06,7111.0,
0604090013 CICLOFOSFAMIDA 50 MG (POR DRAGEA)¶ÿ,,60,130260,2022-06,60.0,
"0604100019 DESMOPRESSINA 0,1 MG/ML APLICACAO NASAL (POR FRASCO DE 2,5 ML",,131,130260,2022-06,131.0,
"0604110030 LEUPRORRELINA 3,75 MG INJETAVEL (POR FRASCO-AMPOLA)",,262,130260,2022-06,262.0,
"0604110049 LEUPRORRELINA 11,25 MG INJETAVEL (POR FRASCO-AMPOLA)",,4,130260,2022-06,4.0,
0604130015 DONEPEZILA 5 MG (POR COMPRIMIDO),,1104,130260,2022-06,1104.0,
0604130023 DONEPEZILA 10 MG (POR COMPRIMIDO),,1986,130260,2022-06,1986.0,
0604130031 GALANTAMINA 8 MG (POR CAPSULA DE LIBERACAO PROLONGADA),,300,130260,2022-06,300.0,
0604130040 GALANTAMINA 16 MG (POR CAPSULA DE LIBERACAO PROLONGADA),,90,130260,2022-06,90.0,
0604130058 GALANTAMINA 24 MG (POR CAPSULA DE LIBERACAO PROLONGADA),,240,130260,2022-06,240.0,
"0604130066 RIVASTIGMINA 1,5 MG (POR CAPSULA)",,120,130260,2022-06,120.0,
0604130082 RIVASTIGMINA 3 MG (POR CAPSULA),,270,130260,2022-06,270.0,
0604130112 PIRIDOSTIGMINA 60 MG (POR COMPRIMIDO),,8100,130260,2022-06,8100.0,
0604130120 RIVASTIGMINA 9 MG ADESIVO TRANSDERMICO,,90,130260,2022-06,90.0,
0604130139 RIVASTIGMINA 18 MG ADESIVO TRANSDERMICO,,1110,130260,2022-06,1110.0,
0604180012 CLOBAZAM 10 MG (POR COMPRIMIDO),,7104,130260,2022-06,7104.0,
0604190018 VIGABATRINA 500 MG (POR COMPRIMIDO),,2745,130260,2022-06,2745.0,
0604210019 ZIPRASIDONA 40 MG (POR CAPSULA),,544,130260,2022-06,544.0,
0604230010 OLANZAPINA 5 MG (POR COMPRIMIDO),,2250,130260,2022-06,2250.0,
0604230028 OLANZAPINA 10 MG (POR COMPRIMIDO),,24690,130260,2022-06,24690.0,
0604230036 QUETIAPINA 25 MG (POR COMPRIMIDO),,2430,130260,2022-06,2430.0,
0604230044 QUETIAPINA 100 MG (POR COMPRIMIDO),,8880,130260,2022-06,8880.0,
0604230052 QUETIAPINA 200 MG (POR COMPRIMIDO),,14354,130260,2022-06,14354.0,
0604230060 QUETIAPINA 300 MG (POR COMPRIMIDO),,604,130260,2022-06,604.0,
0604230079 CLOZAPINA 25 MG (POR COMPRIMIDO),,120,130260,2022-06,120.0,
0604230087 CLOZAPINA 100 MG (POR COMPRIMIDO),,20266,130260,2022-06,20266.0,
0604240031 IMIGLUCERASE 400 U INJETAVEL (POR FRASCO-AMPOLA),,148,130260,2022-06,148.0,
0604240074 IDURSULFASE ALFA 2 MG/ML SOLUCAO INJETAVEL (FRASCO DE 3 ML),,98,130260,2022-06,98.0,
0604260016 SACARATO DE HIDROXIDO FERRICO 100 MG INJETAVEL (POR FRASCO DE 5 ML),,3380,130260,2022-06,3380.0,
0604290020 OCTREOTIDA LAR 20 MG INJETAVEL (POR FRASCO-AMPOLA),,6,130260,2022-06,6.0,
0604290039 OCTREOTIDA ¶ÿLAR 30 MG INJETAVEL (POR FRASCO-AMPOLA),,5,130260,2022-06,5.0,
0604290071 LANREOTIDA 90 MG INJETAVEL (POR SERINGA PREENCHIDA),,1,130260,2022-06,1.0,
"0604310056 IMUNOGLOBULINA HUMANA 5,0 G INJETAVEL (POR FRASCO)",,662,130260,2022-06,662.0,
"0604320019 EVEROLIMO 0,5 MG (POR COMPRIMIDO)¶ÿ",,334,130260,2022-06,334.0,
0604320035 EVEROLIMO 1 MG (POR COMPRIMIDO)¶ÿ,,2322,130260,2022-06,2322.0,
0604320043 LEFLUNOMIDA 20 MG (POR COMPRIMIDO),,11434,130260,2022-06,11434.0,
0604320051 MICOFENOLATO DE MOFETILA 500 MG (POR COMPRIMIDO),,2455,130260,2022-06,2455.0,
0604320060 MICOFENOLATO DE SODIO 180 MG (POR COMPRIMIDO),,130,130260,2022-06,130.0,
0604320078 MICOFENOLATO DE SODIO 360 MG (POR COMPRIMIDO),,18800,130260,2022-06,18800.0,
0604320086 SIROLIMO 1 MG (POR DRAGEA),,1296,130260,2022-06,1296.0,
0604320094 SIROLIMO 2 MG (POR DRAGEA),,151,130260,2022-06,151.0,
0604320116 NATALIZUMABE 300MG (POR FRASCO-AMPOLA),,19,130260,2022-06,19.0,
"0604320132 FINGOLIMODE 0,5 MG (POR CAPSULA)",,604,130260,2022-06,604.0,
0604320159 TOFACITINIBE 5 MG (POR COMPRIMIDO),,4320,130260,2022-06,4320.0,
0604330014 ILOPROSTA 10 MCG/ML SOLUCAO PARA NEBULIZACAO (AMPOLA DE 1 ML),,180,130260,2022-06,180.0,
0604340028 CICLOSPORINA 25 MG (POR CAPSULA),,152,130260,2022-06,152.0,
0604340036 CICLOSPORINA 50 MG (POR CAPSULA),,3692,130260,2022-06,3692.0,
0604340044 CICLOSPORINA 100 MG (POR CAPSULA),,1604,130260,2022-06,1604.0,
0604340052 CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML),,3,130260,2022-06,3.0,
0604340060 TACROLIMO 1 MG (POR CAPSULA),,43268,130260,2022-06,43268.0,
0604340079 TACROLIMO 5 MG (POR CAPSULA),,1596,130260,2022-06,1596.0,
0604350015 SILDENAFILA 20 MG (POR COMPRIMIDO),,4182,130260,2022-06,4182.0,
0604360010 ATORVASTATINA 10 MG (POR COMPRIMIDO),,30,130260,2022-06,30.0,
0604360029 ATORVASTATINA 20 MG (POR COMPRIMIDO),,1803,130260,2022-06,1803.0,
0604380011 ADALIMUMABE 40 MG INJETAVEL (POR SERINGA PREENCHIDA),,596,130260,2022-06,596.0,
0604380020 ETANERCEPTE 25 MG INJETAVEL (POR FRASCO-AMPOLA OU SERINGA PREENCHIDA),,10,130260,2022-06,10.0,
0604380038 ETANERCEPTE 50MG INJETAVEL (POR FRASCO-AMPOLA OU SERINGA PREENCHIDA)(ORIGINADOR),,82,130260,2022-06,82.0,
0604380046 INFLIXIMABE 10 MG/ML INJETAVEL (POR FRASCO-AMPOLA COM 10 ML),,1,130260,2022-06,1.0,
0604380054 INFLIXIMABE 10 MG/ML INJETAVEL (POR FRASCO-AMPOLA COM 10 ML),,39,130260,2022-06,39.0,
0604380062 ADALIMUMABE 40 MG INJETAVEL (POR SERINGA PREENCHIDA),,243,130260,2022-06,243.0,
0604380070 CERTOLIZUMABE PEGOL 200 MG/ML INJETAVEL (POR SERINGA PREENCHIDA),,120,130260,2022-06,120.0,
0604380089 GOLIMUMABE 50 MG INJETAVEL (POR SERINGA PREENCHIDA,,34,130260,2022-06,34.0,
"0604390092 BETAINTERFERONA 1A 6000000 UI (30 MCG) INJETAVEL (POR FRASCO-AMPOLA, SERINGA PREENCHIDA OU CANETA",,9,130260,2022-06,9.0,
0604390106 BETAINTERFERONA 1A 12000000 UI (44 MCG) INJETAVEL (POR SERINGA PREENCHIDA),,65,130260,2022-06,65.0,
0604390114 BETAINTERFERONA 1B 9600000 UI (300MCG) INJETAVEL (POR FRASCO-AMPOLA),,30,130260,2022-06,30.0,
0604400012 SEVELAMER 800 MG (POR COMPRIMIDO),,104760,130260,2022-06,104760.0,
0604410018 METADONA 5 MG (POR COMPRIMIDO),,30,130260,2022-06,30.0,
0604430019 RALOXIFENO 60 MG (POR COMPRIMIDO),,120,130260,2022-06,120.0,
"0604440014 ALFADORNASE 2,5 MG (POR AMPOLA)",,60,130260,2022-06,60.0,
0604470045 ALFAEPOETINA 4000 UI INJETAVEL (POR FRASCO-AMPOLA),,14437,130260,2022-06,14437.0,
0604480016 HIDROXIUREIA 500 MG (POR CAPSULA),,3134,130260,2022-06,3134.0,
0604490011 ENTACAPONA 200 MG (POR COMPRIMIDO),,3095,130260,2022-06,3095.0,
0604500017 GABAPENTINA 300 MG (POR CAPSULA),,17161,130260,2022-06,17161.0,
0604500025 GABAPENTINA 400 MG (POR CAPSULA),,450,130260,2022-06,450.0,
0604500041 LAMOTRIGINA 50 MG (POR COMPRIMIDO),,390,130260,2022-06,390.0,
0604500050 LAMOTRIGINA 100 MG (POR COMPRIMIDO),,2805,130260,2022-06,2805.0,
0604500068 TOPIRAMATO 25 MG (POR COMPRIMIDO),,1700,130260,2022-06,1700.0,
0604500076 TOPIRAMATO 50 MG (POR COMPRIMIDO),,10419,130260,2022-06,10419.0,
0604500084 TOPIRAMATO 100 MG (POR COMPRIMIDO),,180,130260,2022-06,180.0,
0604510012 RISPERIDONA 1 MG (POR COMPRIMIDO),,1473,130260,2022-06,1473.0,
0604510020 RISPERIDONA 2 MG (POR COMPRIMIDO),,2190,130260,2022-06,2190.0,
"0604510047 RISPERIDONA 1,0 MG/ML SOLUCAO ORAL (POR FRASCO DE 30 ML)",,81,130260,2022-06,81.0,
0604530013 AZATIOPRINA 50 MG (POR COMPRIMIDO),,29682,130260,2022-06,29682.0,
"0604530021 METOTREXATO 2,5 MG (POR COMPRIMIDO)",,10537,130260,2022-06,10537.0,
0604540019 RILUZOL 50 MG (POR COMPRIMIDO),,1691,130260,2022-06,1691.0,
0604540035 FUMARATO DE DIMETILA 240 MG (POR CAPSULA),,1098,130260,2022-06,1098.0,
0604540043 TERIFLUNOMIDA 14 MG (POR COMPRIMIDO),,210,130260,2022-06,210.0,
0604550022 TOXINA BOTULINICA TIPO A 500 U INJETAVEL (POR FRASCO-AMPOLA),,2,130260,2022-06,2.0,
0604580010 PANCREATINA 10000 UI (POR CAPSULA),,570,130260,2022-06,570.0,
0604580029 PANCREATINA 25000 UI (POR CAPSULA),,2140,130260,2022-06,2140.0,
0604590024 ISOTRETINOINA 20 MG (POR CAPSULA),,3570,130260,2022-06,3570.0,
0604600011 ACITRETINA 10 MG (POR CAPSULA),,4230,130260,2022-06,4230.0,
0604610017 SOMATROPINA 4 UI INJETAVEL (POR FRASCO-AMPOLA),,4832,130260,2022-06,4832.0,
0604610025 SOMATROPINA 12 UI INJETAVEL (POR FRASCO-AMPOLA),,1226,130260,2022-06,1226.0,
"0604620039 CALCITRIOL 0,25 MCG (POR CAPSULA)",,90,130260,2022-06,90.0,
0604630018 MIGLUSTATE 100 MG (POR CAPSULA),,186,130260,2022-06,186.0,
"0604650019 BIMATOPROSTA 0,3 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 3 ML)",,40,130260,2022-06,40.0,
"0604650027 LATANOPROSTA 0,05 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 2,5 ML)",,39,130260,2022-06,39.0,
"0604650035 TRAVOPROSTA 0,04 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 2,5 ML)",,104,130260,2022-06,104.0,
0604660014 BRINZOLAMIDA 10 MG/ML SUSPENSAO OFTALMICA (POR FRASCO DE 5 ML),,14,130260,2022-06,14.0,
0604660022 DORZOLAMIDA 20 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 5 ML),,101,130260,2022-06,101.0,
"0604670010 BRIMONIDINA 2,0 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 5 ML)",,145,130260,2022-06,145.0,
0604680023 RITUXIMABE 500 MG INJETAVEL (POR FRASCO-AMPOLA DE 50 ML) (ORIGINADOR),,26,130260,2022-06,26.0,
0604690010 TOCILIZUMABE 20 MG/ML INJETAVEL (POR FRASCO-AMPOLA DE 4 ML),,361,130260,2022-06,361.0,
0604690029 SECUQUINUMABE 150 MG/ML SOLUCAO INJETAVEL (POR SERINGA PREENCHIDA),,137,130260,2022-06,137.0,
0604700016 CALCIPOTRIOL 50 MCG/G POMADA (POR BISNAGA DE 30 G),,157,130260,2022-06,157.0,
"0604740018 TIMOLOL 5,0 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 5 ML)",,150,130260,2022-06,150.0,
0604750021 AMBRISENTANA 10MG (POR COMPRIMIDO REVESTIDO),,90,130260,2022-06,90.0,
"0604750030 BOSENTANA 62,5MG (POR COMPRIMIDO REVESTIDO)",,62,130260,2022-06,62.0,
0604750048 BOSENTANA 125MG (POR COMRIMIDO REVESTIDO),,240,130260,2022-06,240.0,
0604770014 CINACALCETE 30 MG (POR COMPRIMIDO),,7231,130260,2022-06,7231.0,
0604770022 CINACALCETE 60 MG (POR COMPRIMIDO),,120,130260,2022-06,120.0,
0604780010 INSULINA ANALOGA DE ACAO RAPIDA 100 UI/ML (TUBETES DE 3ML),,45,130260,2022-06,45.0,
0701010010 ANDADOR FIXO / ARTICULADO EM ALUMINIO COM QUATRO PONTEIRAS,,11,130260,2022-06,11.0,
0701010029 CADEIRA DE RODAS ADULTO / INFANTIL (TIPO PADRAO),,5,130260,2022-06,5.0,
0701010037 CADEIRA DE RODAS PARA BANHO COM ASSENTO SANITARIO,,23,130260,2022-06,23.0,
0701010045 CADEIRA DE RODAS PARA TETRAPLEGICO - TIPO PADRAO,,2,130260,2022-06,2.0,
0701010053 CALCADOS ANATOMICOS COM PALMILHAS PARA PES NEUROPATICOS (PAR),,9,130260,2022-06,9.0,
0701010100 CARRINHO DOBRAVEL PARA TRANSPORTE DE CRIANCA COM DEFICIENCIA,,9,130260,2022-06,9.0,
0701010118 BENGALA CANADENSE REGULAVEL EM ALTURA (PAR),,2,130260,2022-06,2.0,
0701010134 MULETA AXILAR TUBULAR EM ALUMINIO REGULAVEL NA ALTURA (PAR),,2,130260,2022-06,2.0,
0701010142 PALMILHAS CONFECCIONADAS SOB MEDIDA (PAR),,1,130260,2022-06,1.0,
0701010150 PALMILHAS PARA PES NEUROPATICOS CONFECCIONADAS SOB MEDIDA PARA ADULTOS OU CRIANCAS (PAR),,37,130260,2022-06,37.0,
0701010169 PALMILHAS PARA SUSTENTACAO DOS ARCOS PLANTARES ATE O NUMERO 33 (PAR),,1,130260,2022-06,1.0,
0701010177 PALMILHAS PARA SUSTENTACAO DOS ARCOS PLANTARES NUMEROS ACIMA DE 34 (PAR),,1,130260,2022-06,1.0,
0701010207 CADEIRA DE RODAS MONOBLOCO,,3,130260,2022-06,3.0,
0701010215 CADEIRA DE RODAS (ACIMA 90KG),,1,130260,2022-06,1.0,
0701010223 CADEIRA DE RODAS MOTORIZADA ADULTO OU INFANTIL,,1,130260,2022-06,1.0,
0701010240 CADEIRA DE RODAS PARA BANHO COM ENCOSTO RECLINAVEL,,2,130260,2022-06,2.0,
0701020105 ORTESE DINAMICA SUROPODALICA TIPO MOLA DE CODEVILLE (UNILATERAL),,1,130260,2022-06,1.0,
0701020113 ORTESE ESTATICA IMOBILIZADORA AXILO-PALMAR TIPO AEROPLANO,,1,130260,2022-06,1.0,
0701020164 ORTESE METALICA SUROPODALICA (INFANTIL),,6,130260,2022-06,6.0,
0701020210 ORTESE SUROPODALICA ARTICULADA EM POLIPROPILENO INFANTIL,,1,130260,2022-06,1.0,
0701020229 ORTESE SUROPODALICA SEM ARTICULACAO EM POLIPROPILENO (ADULTO),,1,130260,2022-06,1.0,
0701020237 ORTESE SUROPODALICA SEM ARTICULACAO EM POLIPROPILENO (INFANTIL),,10,130260,2022-06,10.0,
0701020466 PROTESE FUNCIONAL EXOESQUELETICA PARA AMPUTACAO TRANSRADIAL,,2,130260,2022-06,2.0,
0701020520 PROTESE PARA AMPUTACAO TIPO CHOPART,,1,130260,2022-06,1.0,
0701020571 ADAPTACAO DE OPM ORTOPEDICA,,1,130260,2022-06,1.0,
0701030127 APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) EXTERNO RETRO-AURICULAR TIPO A,,10,130260,2022-06,10.0,
0701030135 APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) EXTERNO RETRO-AURICULAR TIPO B,,38,130260,2022-06,38.0,
0701030143 APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) EXTERNO RETRO-AURICULAR TIPO C,,129,130260,2022-06,129.0,
0701030151 MOLDE AURICULAR (REPOSICAO),,41,130260,2022-06,41.0,
0701030275 REPOSICAO DE AASI EXTERNO RETROAURICULAR TIPO A,,2,130260,2022-06,2.0,
0701030283 REPOSICAO DE AASI EXTERNO RETROAURICULAR TIPO B,,10,130260,2022-06,10.0,
0701030291 REPOSICAO DE AASI EXTERNO RETROAURICULAR TIPO C,,31,130260,2022-06,31.0,
0701030330 AUDIO PROCESSADOR DA PROTESE AUDITIVA ANCORADA NO OSSO,,1,130260,2022-06,1.0,
"0701040050 OCULOS COM LENTES CORRETIVAS IGUAIS / MAIORES QUE 0,5 DIOPTRIAS",,40,130260,2022-06,40.0,
0701050020 BOLSA DE COLOSTOMIA COM ADESIVO MICROPORO DRENAVEL,,6817,130260,2022-06,6817.0,
0701050047 CONJUNTO DE PLACA E BOLSA PARA OSTOMA INTESTINAL,,1795,130260,2022-06,1795.0,
0701060018 BARREIRAS PROTETORAS DE PELE SINTETICA E/OU MISTA EM FORMA DE PO / PASTA E/OU PLACA,,266,130260,2022-06,266.0,
0701060026 BOLSA COLETORA P/ UROSTOMIZADOS,,280,130260,2022-06,280.0,
0701060042 CONJUNTO DE PLACA E BOLSA PARA UROSTOMIZADOS,,195,130260,2022-06,195.0,
0701070021 APARELHO ORTOPEDICO E ORTODONTICO REMOVIVEL,,2,130260,2022-06,2.0,
0701070064 MANTENEDOR DE ESPACO,,4,130260,2022-06,4.0,
0701070099 PROTESE PARCIAL MANDIBULAR REMOVIVEL,,225,130260,2022-06,225.0,
0701070102 PROTESE PARCIAL MAXILAR REMOVIVEL,,165,130260,2022-06,165.0,
0701070129 PROTESE TOTAL MANDIBULAR,,126,130260,2022-06,126.0,
0701070137 PROTESE TOTAL MAXILAR,,234,130260,2022-06,234.0,
0701070145 PROTESES CORONARIAS / INTRA-RADICULARES FIXAS / ADESIVAS (POR ELEMENTO),,6,130260,2022-06,6.0,
0701070161 APARELHO ORTOPEDICO FIXO,,1,130260,2022-06,1.0,
0701090073 SUBSTITUICAO DE PE SACH / ARTICULADO,,1,130260,2022-06,1.0,
0701090081 SUBSTITUICAO DO ENCAIXE INTERNO FLEXIVEL PARA PROTESE TRANSTIBIAL EXOESQUELETICA / ENDOESQUELETIC,,1,130260,2022-06,1.0,
0702100013 CATETER DE LONGA PERMANENCIA P/ HEMODIALISE,,24,130260,2022-06,24.0,
0702100021 CATETER P/ SUBCLAVIA DUPLO LUMEN P/ HEMODIALISE,,217,130260,2022-06,217.0,
0702100030 CATETER TIPO TENCKHOFF / SIMILAR DE LONGA PERMANENCIA P/ DPI/DPAC/DPA,,1,130260,2022-06,1.0,
0702100048 CONJTROCA P/DPA (PACIENTE-MES C/ INSTALACAO DOMICILIAR E MANUTENCAO DA MAQUINA CICLADORA),,10,130260,2022-06,10.0,
0702100064 CONJUNTO DE TROCA PARA PACIENTE SUBMETIDO A DPAC (PACIENTE-MES) CORRESPONDENTE A 120 UNIDADES,,18,130260,2022-06,18.0,
